symbol,date,time,Open,High,Low,Close,Volume
SBIN,2025-06-17,09:45:00,792.4500122070312,792.7999877929688,791.7000122070312,792.2999877929688,0
SBIN,2025-06-18,03:45:00,792.9000244140625,795.4500122070312,791.2000122070312,793.7999877929688,993342
SBIN,2025-06-18,04:45:00,793.9000244140625,794.0499877929688,790.0999755859375,791.5,799920
SBIN,2025-06-18,05:45:00,791.4000244140625,792.2999877929688,789.5,791.3499755859375,504195
SBIN,2025-06-18,06:45:00,791.5999755859375,792.1500244140625,788.5,789.7999877929688,690409
SBIN,2025-06-18,07:45:00,789.6500244140625,790.8499755859375,788.5,788.7999877929688,567064
SBIN,2025-06-18,08:45:00,789.0,792.25,788.4000244140625,792.0499877929688,1449115
SBIN,2025-06-18,09:45:00,792.0,792.7000122070312,790.1500244140625,790.5999755859375,704564
SBIN,2025-06-19,03:45:00,790.5,793.0,781.9500122070312,781.9500122070312,3846691
SBIN,2025-06-19,04:45:00,782.0999755859375,784.7999877929688,781.7000122070312,784.5,1262285
SBIN,2025-06-19,05:45:00,784.4500122070312,786.7000122070312,783.8499755859375,785.5,1625314
SBIN,2025-06-19,06:45:00,785.5,786.5999755859375,784.25,785.5999755859375,996128
SBIN,2025-06-19,07:45:00,785.5999755859375,787.4500122070312,784.3499755859375,787.0999755859375,998617
SBIN,2025-06-19,08:45:00,787.1500244140625,787.6500244140625,784.9500122070312,785.2000122070312,2174608
SBIN,2025-06-19,09:45:00,785.25,785.5999755859375,782.3499755859375,783.0,917135
SBIN,2025-06-20,03:45:00,787.0,791.2999877929688,786.3499755859375,788.7000122070312,0
SBIN,2025-06-20,04:45:00,788.7999877929688,795.5,788.7000122070312,795.5,1972925
SBIN,2025-06-20,05:45:00,795.3499755859375,799.4000244140625,795.2000122070312,796.0499877929688,1650599
SBIN,2025-06-20,06:45:00,796.0999755859375,796.2000122070312,793.6500244140625,795.0,742364
SBIN,2025-06-20,07:45:00,795.1500244140625,795.7999877929688,793.6500244140625,794.7000122070312,541978
SBIN,2025-06-20,08:45:00,794.7000122070312,797.0,793.9000244140625,797.0,2471057
SBIN,2025-06-20,09:45:00,796.8499755859375,797.2999877929688,795.0,795.0,2251406
SBIN,2025-06-23,03:45:00,792.0999755859375,794.7000122070312,788.5,790.2000122070312,0
SBIN,2025-06-23,04:45:00,790.0999755859375,792.5,790.0999755859375,791.5,545199
SBIN,2025-06-23,05:45:00,791.5999755859375,792.4000244140625,790.0999755859375,791.25,701217
SBIN,2025-06-23,06:45:00,791.0999755859375,791.75,789.4000244140625,790.2999877929688,516423
SBIN,2025-06-23,07:45:00,790.2000122070312,793.5,790.0,792.2000122070312,851246
SBIN,2025-06-23,08:45:00,792.2999877929688,792.5,789.7000122070312,790.0999755859375,1233391
SBIN,2025-06-23,09:45:00,790.2000122070312,790.25,789.5,789.9500122070312,419053
SBIN,2025-06-24,03:45:00,799.0499877929688,803.7999877929688,797.2999877929688,802.9000244140625,2446196
SBIN,2025-06-24,04:45:00,803.0,804.5999755859375,801.2000122070312,804.0499877929688,810018
SBIN,2025-06-24,05:45:00,804.0499877929688,806.6500244140625,803.7000122070312,805.9500122070312,1148740
SBIN,2025-06-24,06:45:00,806.0,806.2000122070312,800.0999755859375,801.2000122070312,1404668
SBIN,2025-06-24,07:45:00,801.2000122070312,802.0,793.7999877929688,794.3499755859375,2460431
SBIN,2025-06-24,08:45:00,794.4000244140625,796.5999755859375,793.6500244140625,794.7999877929688,2185798
SBIN,2025-06-24,09:45:00,794.7999877929688,796.2000122070312,794.75,795.4000244140625,0
SBIN,2025-06-25,03:45:00,800.0,800.5999755859375,796.25,797.7999877929688,1216757
SBIN,2025-06-25,04:45:00,797.8499755859375,798.7999877929688,796.6500244140625,797.0,819711
SBIN,2025-06-25,05:45:00,796.9500122070312,801.5499877929688,796.9500122070312,800.4500122070312,1265908
SBIN,2025-06-25,06:45:00,800.4500122070312,802.9000244140625,799.7000122070312,802.9000244140625,631208
SBIN,2025-06-25,07:45:00,802.75,803.7999877929688,801.4000244140625,802.5999755859375,741546
SBIN,2025-06-25,08:45:00,802.5999755859375,802.5999755859375,799.7000122070312,800.0,1157275
SBIN,2025-06-25,09:45:00,800.0,800.0999755859375,799.0999755859375,800.0,695041
SBIN,2025-06-26,03:45:00,802.0999755859375,803.3499755859375,797.0,797.25,2250455
SBIN,2025-06-26,04:45:00,797.3499755859375,797.5,791.5,791.8499755859375,10360316
